qid,absid
http://www.wikidata.org/entity/Q97984147,99662
http://www.wikidata.org/entity/Q97987538,99688
http://www.wikidata.org/entity/Q97987143,99709
http://www.wikidata.org/entity/Q97984434,99825
http://www.wikidata.org/entity/Q97984514,99893
http://www.wikidata.org/entity/Q97988463,99974
http://www.wikidata.org/entity/Q97986815,100050
http://www.wikidata.org/entity/Q97984550,100083
http://www.wikidata.org/entity/Q97987270,100131
http://www.wikidata.org/entity/Q97987797,100283
http://www.wikidata.org/entity/Q97987189,100404
http://www.wikidata.org/entity/Q97984209,100506
http://www.wikidata.org/entity/Q97986905,100533
http://www.wikidata.org/entity/Q97988602,100556
http://www.wikidata.org/entity/Q97986176,100680
http://www.wikidata.org/entity/Q97988492,100688
http://www.wikidata.org/entity/Q97984308,100908
http://www.wikidata.org/entity/Q97987890,101047
http://www.wikidata.org/entity/Q97987344,101177
http://www.wikidata.org/entity/Q97986118,101211
http://www.wikidata.org/entity/Q97986072,101238
http://www.wikidata.org/entity/Q97988508,101273
http://www.wikidata.org/entity/Q97987475,101348
http://www.wikidata.org/entity/Q97987945,101423
http://www.wikidata.org/entity/Q97984825,101431
http://www.wikidata.org/entity/Q97983265,101462
http://www.wikidata.org/entity/Q97987802,101473
http://www.wikidata.org/entity/Q97986364,101489
http://www.wikidata.org/entity/Q97987625,101515
http://www.wikidata.org/entity/Q97988219,101691
http://www.wikidata.org/entity/Q97985616,101761
http://www.wikidata.org/entity/Q97988041,101767
http://www.wikidata.org/entity/Q97983261,101768
http://www.wikidata.org/entity/Q97985115,101772
http://www.wikidata.org/entity/Q97987681,135085
http://www.wikidata.org/entity/Q97986419,136443
http://www.wikidata.org/entity/Q97985237,137030
http://www.wikidata.org/entity/Q97987319,152167
http://www.wikidata.org/entity/Q97984897,182673
http://www.wikidata.org/entity/Q97985114,99090
http://www.wikidata.org/entity/Q97986181,99156
http://www.wikidata.org/entity/Q97988636,99161
http://www.wikidata.org/entity/Q97983972,99209
http://www.wikidata.org/entity/Q97983378,99240
http://www.wikidata.org/entity/Q97987227,99345
http://www.wikidata.org/entity/Q97986400,99356
http://www.wikidata.org/entity/Q97987675,99364
http://www.wikidata.org/entity/Q97986544,99520
http://www.wikidata.org/entity/Q97984548,99622
http://www.wikidata.org/entity/Q97987543,99635
http://www.wikidata.org/entity/Q97983739,99746
http://www.wikidata.org/entity/Q97984167,99774
http://www.wikidata.org/entity/Q97984027,99807
http://www.wikidata.org/entity/Q97985567,99811
http://www.wikidata.org/entity/Q97984999,99831
http://www.wikidata.org/entity/Q97986158,99845
http://www.wikidata.org/entity/Q97986760,99850
